GEOID,NAME,variable,estimate,moe,city,state
4513330,"Charleston city, South Carolina",B17021_002,18285,1407,Charleston,SC
4513330,"Charleston city, South Carolina",B19013_001,61367,1631,Charleston,SC
4513330,"Charleston city, South Carolina",C16002_004,171,105,Charleston,SC
4513330,"Charleston city, South Carolina",C16002_007,72,33,Charleston,SC
4513330,"Charleston city, South Carolina",C16002_010,91,60,Charleston,SC
4513330,"Charleston city, South Carolina",C16002_013,0,29,Charleston,SC
4835000,"Houston city, Texas",B01003_001,2267336,220,Houston,TX
4835000,"Houston city, Texas",B03002_003,564663,5619,Houston,TX
4835000,"Houston city, Texas",B03002_012,1008249,6409,Houston,TX
4835000,"Houston city, Texas",B11016_001,838950,3579,Houston,TX
4835000,"Houston city, Texas",B17021_002,472592,8262,Houston,TX
4835000,"Houston city, Texas",B19013_001,49399,539,Houston,TX
4835000,"Houston city, Texas",C16002_004,97485,1886,Houston,TX
4835000,"Houston city, Texas",C16002_007,4695,516,Houston,TX
4835000,"Houston city, Texas",C16002_010,12961,726,Houston,TX
4835000,"Houston city, Texas",C16002_013,3154,522,Houston,TX
4260000,"Philadelphia city, Pennsylvania",B01003_001,1569657,NA,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",B03002_003,548312,559,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",B03002_012,221777,NA,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",B11016_001,591280,2427,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",B17021_002,393924,7050,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",B19013_001,40649,466,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",C16002_004,17366,977,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",C16002_007,10990,748,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",C16002_010,11165,601,Philadelphia,PA
4260000,"Philadelphia city, Pennsylvania",C16002_013,1829,324,Philadelphia,PA
1836003,"Indianapolis city (balance), Indiana",B01003_001,853431,466,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",B03002_003,477245,1405,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",B03002_012,86362,966,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",B11016_001,333316,2011,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",B17021_002,167666,4465,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",B19013_001,44709,591,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",C16002_004,8490,686,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",C16002_007,1048,268,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",C16002_010,2523,359,Indianapolis,IN
1836003,"Indianapolis city (balance), Indiana",C16002_013,931,243,Indianapolis,IN
668252,"San Mateo city, California",B01003_001,103500,107,San Mateo,CA
668252,"San Mateo city, California",B03002_003,44775,1451,San Mateo,CA
668252,"San Mateo city, California",B03002_012,26475,1387,San Mateo,CA
668252,"San Mateo city, California",B11016_001,38546,632,San Mateo,CA
668252,"San Mateo city, California",B17021_002,8197,1247,San Mateo,CA
668252,"San Mateo city, California",B19013_001,103399,2097,San Mateo,CA
668252,"San Mateo city, California",C16002_004,1812,340,San Mateo,CA
668252,"San Mateo city, California",C16002_007,607,156,San Mateo,CA
668252,"San Mateo city, California",C16002_010,1602,259,San Mateo,CA
668252,"San Mateo city, California",C16002_013,32,28,San Mateo,CA
3638077,"Ithaca city, New York",B01003_001,30720,29,Ithaca,NY
3638077,"Ithaca city, New York",B03002_003,19683,511,Ithaca,NY
3638077,"Ithaca city, New York",B03002_012,2230,304,Ithaca,NY
3638077,"Ithaca city, New York",B11016_001,9869,487,Ithaca,NY
3638077,"Ithaca city, New York",B17021_002,9871,789,Ithaca,NY
3638077,"Ithaca city, New York",B19013_001,31967,3858,Ithaca,NY
3638077,"Ithaca city, New York",C16002_004,29,33,Ithaca,NY
3638077,"Ithaca city, New York",C16002_007,72,71,Ithaca,NY
3638077,"Ithaca city, New York",C16002_010,282,114,Ithaca,NY
3638077,"Ithaca city, New York",C16002_013,0,24,Ithaca,NY
1253000,"Orlando city, Florida",B01003_001,269414,119,Orlando,FL
1253000,"Orlando city, Florida",B03002_003,102760,2467,Orlando,FL
1253000,"Orlando city, Florida",B03002_012,79890,3012,Orlando,FL
1253000,"Orlando city, Florida",B11016_001,109468,1293,Orlando,FL
1253000,"Orlando city, Florida",B17021_002,51047,2680,Orlando,FL
1253000,"Orlando city, Florida",B19013_001,45436,1136,Orlando,FL
1253000,"Orlando city, Florida",C16002_004,6525,483,Orlando,FL
1253000,"Orlando city, Florida",C16002_007,1515,361,Orlando,FL
1253000,"Orlando city, Florida",C16002_010,744,198,Orlando,FL
1253000,"Orlando city, Florida",C16002_013,267,136,Orlando,FL
3921000,"Dayton city, Ohio",B01003_001,140939,62,Dayton,OH
3921000,"Dayton city, Ohio",B03002_003,74134,1133,Dayton,OH
3921000,"Dayton city, Ohio",B03002_012,5563,629,Dayton,OH
3921000,"Dayton city, Ohio",B11016_001,57778,726,Dayton,OH
3921000,"Dayton city, Ohio",B17021_002,42382,1999,Dayton,OH
3921000,"Dayton city, Ohio",B19013_001,30128,962,Dayton,OH
3921000,"Dayton city, Ohio",C16002_004,388,169,Dayton,OH
3921000,"Dayton city, Ohio",C16002_007,110,77,Dayton,OH
3921000,"Dayton city, Ohio",C16002_010,240,120,Dayton,OH
3921000,"Dayton city, Ohio",C16002_013,147,91,Dayton,OH
643000,"Long Beach city, California",B01003_001,470489,155,Long Beach,CA
643000,"Long Beach city, California",B03002_003,129957,2054,Long Beach,CA
643000,"Long Beach city, California",B03002_012,201523,2773,Long Beach,CA
643000,"Long Beach city, California",B11016_001,165001,1255,Long Beach,CA
643000,"Long Beach city, California",B17021_002,88476,3718,Long Beach,CA
643000,"Long Beach city, California",B19013_001,58314,1353,Long Beach,CA
643000,"Long Beach city, California",C16002_004,7981,470,Long Beach,CA
643000,"Long Beach city, California",C16002_007,678,170,Long Beach,CA
643000,"Long Beach city, California",C16002_010,3621,354,Long Beach,CA
643000,"Long Beach city, California",C16002_013,152,88,Long Beach,CA
4845384,"McAllen city, Texas",B01003_001,139838,41,McAllen,TX
4845384,"McAllen city, Texas",B03002_003,15310,1224,McAllen,TX
4845384,"McAllen city, Texas",B03002_012,119096,1422,McAllen,TX
4845384,"McAllen city, Texas",B11016_001,43987,897,McAllen,TX
4845384,"McAllen city, Texas",B17021_002,34945,3120,McAllen,TX
4845384,"McAllen city, Texas",B19013_001,45057,2732,McAllen,TX
4845384,"McAllen city, Texas",C16002_004,7821,735,McAllen,TX
4845384,"McAllen city, Texas",C16002_007,47,57,McAllen,TX
4845384,"McAllen city, Texas",C16002_010,208,111,McAllen,TX
4845384,"McAllen city, Texas",C16002_013,13,22,McAllen,TX
2622000,"Detroit city, Michigan",B01003_001,679865,92,Detroit,MI
2622000,"Detroit city, Michigan",B03002_003,67579,1937,Detroit,MI
2622000,"Detroit city, Michigan",B03002_012,51685,1627,Detroit,MI
2622000,"Detroit city, Michigan",B11016_001,258471,1708,Detroit,MI
2622000,"Detroit city, Michigan",B17021_002,252897,4539,Detroit,MI
2622000,"Detroit city, Michigan",B19013_001,27838,443,Detroit,MI
2622000,"Detroit city, Michigan",C16002_004,3472,423,Detroit,MI
2622000,"Detroit city, Michigan",C16002_007,1203,222,Detroit,MI
2622000,"Detroit city, Michigan",C16002_010,330,121,Detroit,MI
2622000,"Detroit city, Michigan",C16002_013,1095,201,Detroit,MI
2743000,"Minneapolis city, Minnesota",B01003_001,411452,46,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",B03002_003,246351,2437,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",B03002_012,40147,1619,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",B11016_001,172082,1438,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",B17021_002,82022,2638,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",B19013_001,55720,945,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",C16002_004,3377,383,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",C16002_007,578,127,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",C16002_010,1556,260,Minneapolis,MN
2743000,"Minneapolis city, Minnesota",C16002_013,4774,532,Minneapolis,MN
3502000,"Albuquerque city, New Mexico",B01003_001,556718,85,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",B03002_003,222796,1422,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",B03002_012,270215,1456,Albuquerque,NM
3502000,"Albuquerque city, New Mexico",B11016_001,221119,1420,Albuquerque,NM
